"National accounts, GDP (ESA2010), change in volume, percent by quarter, economic indicator and observations"

"quarter","GDP at market prices Change in volume corresponding quarter previous year, percent","GDP at market prices Seasonally adjusted, change in volume, previous quarter, percent","Imports of goods and services Change in volume corresponding quarter previous year, percent","Imports of goods and services Seasonally adjusted, change in volume, previous quarter, percent","Household consumption expenditure Change in volume corresponding quarter previous year, percent","Household consumption expenditure Seasonally adjusted, change in volume, previous quarter, percent","General government final consumption expenditure Change in volume corresponding quarter previous year, percent","General government final consumption expenditure Seasonally adjusted, change in volume, previous quarter, percent","Gross fixed capital formation Change in volume corresponding quarter previous year, percent","Gross fixed capital formation Seasonally adjusted, change in volume, previous quarter, percent","Changes in inventories Change in volume corresponding quarter previous year, percent","Changes in inventories Seasonally adjusted, change in volume, previous quarter, percent","Exports of goods and  services Change in volume corresponding quarter previous year, percent","Exports of goods and  services Seasonally adjusted, change in volume, previous quarter, percent"
"1993K1",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"1993K2",..,1.3,-4.2,0.0,-3.9,1.1,-3.0,-0.5,-12.9,-0.2,0.1,..,6.3,1.4
"1993K3",..,0.8,-6.6,2.6,-1.0,-0.5,-5.7,-0.4,-11.2,-2.4,-4.1,..,12.2,6.3
"1993K4",..,0.3,4.1,2.3,0.8,0.2,8.7,-0.3,-12.6,2.9,0.7,..,13.3,0.1
"1994K1",3.7,1.1,8.7,3.3,2.5,1.2,-1.6,-0.8,5.0,4.4,0.7,..,14.0,4.5
"1994K2",3.3,1.0,13.5,4.8,1.2,-0.3,-1.2,0.4,3.8,-1.0,1.5,..,15.1,2.9
"1994K3",3.0,0.9,11.2,0.3,1.2,0.4,-0.4,-0.3,8.2,2.0,1.4,..,8.4,1.3
"1994K4",5.1,1.8,17.7,7.6,2.2,1.4,-0.8,-0.2,13.4,6.6,1.4,..,16.6,7.4
"1995K1",5.1,1.3,12.5,-1.2,0.8,-0.7,1.0,0.9,5.9,-0.9,1.8,..,17.4,4.1
"1995K2",4.5,0.5,6.7,0.7,2.0,0.8,-1.3,-0.2,6.7,-0.2,-0.3,..,13.5,0.5
"1995K3",3.7,0.3,8.4,2.1,1.1,-0.4,0.7,0.3,10.3,5.1,-0.8,..,10.6,-0.5
"1995K4",3.4,1.2,2.2,1.1,-0.2,0.4,1.1,-0.2,8.9,4.1,0.1,..,4.6,1.1
"1996K1",2.6,0.7,2.9,-1.1,1.1,0.5,-0.7,0.1,5.6,-2.3,1.8,..,1.5,0.9
"1996K2",1.4,-0.8,2.9,0.9,1.0,0.2,-1.1,0.0,6.8,-0.2,-0.8,..,4.6,2.8
"1996K3",1.3,0.3,2.8,1.8,2.9,1.6,0.5,-0.7,6.0,3.9,-2.3,..,5.0,-0.5
"1996K4",1.1,0.8,5.0,4.0,2.3,0.3,0.7,1.1,2.1,0.7,-1.9,..,6.5,3.9
"1997K1",1.1,0.9,7.0,2.6,2.2,0.8,-4.2,-0.7,-1.1,-2.7,-0.8,..,7.5,4.5
"1997K2",3.4,1.1,15.4,4.9,4.9,1.7,0.3,0.1,5.7,2.7,-0.3,..,15.7,5.4
"1997K3",3.6,0.7,13.7,1.5,2.2,-0.4,2.7,0.8,-1.0,-1.4,0.2,..,16.6,1.6
"1997K4",5.0,2.1,13.1,3.9,3.0,0.8,-0.2,-0.5,2.9,3.9,1.2,..,15.9,3.4
"1998K1",4.2,0.4,16.4,3.9,3.0,0.7,5.4,3.4,7.1,1.5,1.4,..,13.1,1.1
"1998K2",4.8,1.4,9.5,1.2,2.0,1.2,1.6,0.1,5.1,2.0,2.4,..,5.2,0.8
"1998K3",4.5,0.5,9.9,0.9,3.8,0.9,3.4,0.9,9.8,2.0,-0.4,..,9.0,3.0
"1998K4",3.4,1.2,8.5,1.8,4.5,1.5,4.5,-0.1,9.0,2.3,-2.0,..,8.8,2.8
"1999K1",4.0,1.1,4.1,0.1,4.0,0.4,3.0,1.2,7.3,1.5,-0.6,..,5.8,-0.5
"1999K2",3.6,0.7,4.3,0.8,3.3,0.5,3.4,-0.1,5.3,-1.1,-1.0,..,8.1,2.0
"1999K3",4.0,0.7,5.9,3.2,3.7,1.2,-0.1,-0.6,7.3,4.4,-0.7,..,8.3,3.4
"1999K4",4.3,1.9,7.1,2.5,5.2,3.0,0.9,0.2,4.7,-1.1,0.6,..,6.6,0.7
"2000K1",3.8,0.7,11.8,3.7,6.4,1.3,0.3,-0.5,4.1,1.5,0.7,..,11.4,3.5
"2000K2",6.1,2.6,13.2,3.8,7.0,1.5,-1.5,0.0,8.1,3.3,0.8,..,11.5,4.4
"2000K3",6.3,0.8,14.2,4.1,6.1,0.4,-0.8,0.3,4.8,1.8,1.9,..,12.3,4.1
"2000K4",3.6,-0.3,10.0,-1.3,2.5,-0.3,-1.0,-0.5,8.4,1.7,-1.4,..,12.9,1.1
"2001K1",3.3,0.3,7.4,0.7,2.2,0.5,0.3,0.1,5.1,-1.2,1.0,..,7.2,-2.2
"2001K2",0.8,0.1,-1.1,-4.5,0.7,0.0,0.3,0.2,1.8,-0.7,-0.7,..,0.7,-2.0
"2001K3",0.7,0.4,-6.4,-1.4,0.7,0.3,-0.9,0.3,0.5,1.0,-1.4,..,-1.9,0.9
"2001K4",1.5,0.8,-5.2,0.4,-0.1,-0.4,0.8,0.9,2.3,3.6,-0.2,..,-3.1,1.2
"2002K1",1.2,-0.1,-5.1,1.6,1.6,2.1,1.0,0.7,-5.0,-7.4,-1.6,..,-0.2,1.1
"2002K2",2.6,1.5,0.2,-1.0,2.2,0.2,3.4,0.4,3.0,5.2,-1.6,..,5.0,0.8
"2002K3",3.1,0.6,-0.2,-1.7,2.2,0.1,2.7,0.3,-0.4,-1.5,1.5,..,0.9,-2.6
