"DATE","TIME PERIOD","Swedish krona/Euro (EXR.M.SEK.EUR.SP00.A)"
"1999-01-31","1999Jan","9.0826"
"1999-02-28","1999Feb","8.9077"
"1999-03-31","1999Mar","8.9403"
"1999-04-30","1999Apr","8.9140"
"1999-05-31","1999May","8.9722"
"1999-06-30","1999Jun","8.8284"
"1999-07-31","1999Jul","8.7446"
"1999-08-31","1999Aug","8.7519"
"1999-09-30","1999Sep","8.6337"
"1999-10-31","1999Oct","8.7272"
"1999-11-30","1999Nov","8.6330"
"1999-12-31","1999Dec","8.5865"
"2000-01-31","2000Jan","8.5968"
"2000-02-29","2000Feb","8.5114"
"2000-03-31","2000Mar","8.3884"
"2000-04-30","2000Apr","8.2671"
"2000-05-31","2000May","8.2410"
"2000-06-30","2000Jun","8.3177"
"2000-07-31","2000Jul","8.4070"
"2000-08-31","2000Aug","8.3917"
"2000-09-30","2000Sep","8.4145"
"2000-10-31","2000Oct","8.5245"
"2000-11-30","2000Nov","8.6289"
"2000-12-31","2000Dec","8.6622"
"2001-01-31","2001Jan","8.9055"
"2001-02-28","2001Feb","8.9770"
"2001-03-31","2001Mar","9.1264"
"2001-04-30","2001Apr","9.1120"
"2001-05-31","2001May","9.0576"
"2001-06-30","2001Jun","9.2106"
"2001-07-31","2001Jul","9.2637"
"2001-08-31","2001Aug","9.3107"
"2001-09-30","2001Sep","9.6744"
"2001-10-31","2001Oct","9.5780"
"2001-11-30","2001Nov","9.4166"
"2001-12-31","2001Dec","9.4359"
"2002-01-31","2002Jan","9.2275"
"2002-02-28","2002Feb","9.1828"
"2002-03-31","2002Mar","9.0594"
"2002-04-30","2002Apr","9.1358"
"2002-05-31","2002May","9.2208"
"2002-06-30","2002Jun","9.1137"
"2002-07-31","2002Jul","9.2689"
"2002-08-31","2002Aug","9.2489"
"2002-09-30","2002Sep","9.1679"
"2002-10-31","2002Oct","9.1051"
"2002-11-30","2002Nov","9.0818"
"2002-12-31","2002Dec","9.0961"
"2003-01-31","2003Jan","9.1733"
"2003-02-28","2003Feb","9.1455"
"2003-03-31","2003Mar","9.2265"
"2003-04-30","2003Apr","9.1541"
"2003-05-31","2003May","9.1559"
"2003-06-30","2003Jun","9.1182"
"2003-07-31","2003Jul","9.1856"
"2003-08-31","2003Aug","9.2378"
"2003-09-30","2003Sep","9.0682"
"2003-10-31","2003Oct","9.0105"
"2003-11-30","2003Nov","8.9939"
"2003-12-31","2003Dec","9.0228"
"2004-01-31","2004Jan","9.1368"
"2004-02-29","2004Feb","9.1763"
"2004-03-31","2004Mar","9.2346"
"2004-04-30","2004Apr","9.1653"
"2004-05-31","2004May","9.1277"
"2004-06-30","2004Jun","9.1430"
"2004-07-31","2004Jul","9.1962"
"2004-08-31","2004Aug","9.1861"
"2004-09-30","2004Sep","9.0920"
"2004-10-31","2004Oct","9.0620"
"2004-11-30","2004Nov","8.9981"
"2004-12-31","2004Dec","8.9819"
"2005-01-31","2005Jan","9.0476"
"2005-02-28","2005Feb","9.0852"
"2005-03-31","2005Mar","9.0884"
"2005-04-30","2005Apr","9.1670"
"2005-05-31","2005May","9.1931"
"2005-06-30","2005Jun","9.2628"
"2005-07-31","2005Jul","9.4276"
"2005-08-31","2005Aug","9.3398"
"2005-09-30","2005Sep","9.3342"
"2005-10-31","2005Oct","9.4223"
"2005-11-30","2005Nov","9.5614"
"2005-12-31","2005Dec","9.4316"
"2006-01-31","2006Jan","9.3111"
"2006-02-28","2006Feb","9.3414"
"2006-03-31","2006Mar","9.4017"
"2006-04-30","2006Apr","9.3346"
"2006-05-31","2006May","9.3310"
"2006-06-30","2006Jun","9.2349"
"2006-07-31","2006Jul","9.2170"
"2006-08-31","2006Aug","9.2098"
"2006-09-30","2006Sep","9.2665"
"2006-10-31","2006Oct","9.2533"
"2006-11-30","2006Nov","9.1008"
"2006-12-31","2006Dec","9.0377"
"2007-01-31","2007Jan","9.0795"
"2007-02-28","2007Feb","9.1896"
"2007-03-31","2007Mar","9.2992"
"2007-04-30","2007Apr","9.2372"
"2007-05-31","2007May","9.2061"
"2007-06-30","2007Jun","9.3290"
"2007-07-31","2007Jul","9.1842"
"2007-08-31","2007Aug","9.3231"
"2007-09-30","2007Sep","9.2835"
"2007-10-31","2007Oct","9.1735"
"2007-11-30","2007Nov","9.2889"
"2007-12-31","2007Dec","9.4319"
"2008-01-31","2008Jan","9.4314"
"2008-02-29","2008Feb","9.3642"
"2008-03-31","2008Mar","9.4020"
"2008-04-30","2008Apr","9.3699"
"2008-05-31","2008May","9.3106"
"2008-06-30","2008Jun","9.3739"
"2008-07-31","2008Jul","9.4566"
"2008-08-31","2008Aug","9.3984"
"2008-09-30","2008Sep","9.5637"
"2008-10-31","2008Oct","9.8506"
"2008-11-30","2008Nov","10.1275"
"2008-12-31","2008Dec","10.7538"
"2009-01-31","2009Jan","10.7264"
"2009-02-28","2009Feb","10.9069"
"2009-03-31","2009Mar","11.1767"
"2009-04-30","2009Apr","10.8796"
"2009-05-31","2009May","10.5820"
"2009-06-30","2009Jun","10.8713"
"2009-07-31","2009Jul","10.8262"
"2009-08-31","2009Aug","10.2210"
"2009-09-30","2009Sep","10.1976"
"2009-10-31","2009Oct","10.3102"
"2009-11-30","2009Nov","10.3331"
"2009-12-31","2009Dec","10.4085"
"2010-01-31","2010Jan","10.1939"
"2010-02-28","2010Feb","9.9505"
"2010-03-31","2010Mar","9.7277"
"2010-04-30","2010Apr","9.6617"
"2010-05-31","2010May","9.6641"
"2010-06-30","2010Jun","9.5723"
"2010-07-31","2010Jul","9.4954"
"2010-08-31","2010Aug","9.4216"
"2010-09-30","2010Sep","9.2241"
"2010-10-31","2010Oct","9.2794"
"2010-11-30","2010Nov","9.3166"
"2010-12-31","2010Dec","9.0559"
"2011-01-31","2011Jan","8.9122"
"2011-02-28","2011Feb","8.7882"
"2011-03-31","2011Mar","8.8864"
"2011-04-30","2011Apr","8.9702"
"2011-05-31","2011May","8.9571"
"2011-06-30","2011Jun","9.1125"
"2011-07-31","2011Jul","9.1340"
"2011-08-31","2011Aug","9.1655"
"2011-09-30","2011Sep","9.1343"
"2011-10-31","2011Oct","9.1138"
"2011-11-30","2011Nov","9.1387"
"2011-12-31","2011Dec","9.0184"
"2012-01-31","2012Jan","8.8503"
"2012-02-29","2012Feb","8.8196"
